year,XDR
1980,0
1981,0.849669143
1982,0.90850397
1983,0.936560464
1984,0.977321369
1985,0.986526268
1986,0.85214274
1987,0.773748051
1988,0.745580463
1989,0.780900617
1990,0.737135139
1991,0.732009702
1992,0.710154778
1993,0.716315481
1994,0.698574243
1995,0.65983875
1996,0.68877679
1997,0.726835133
1998,0.736969368
1999,0.731386642
2000,0.758990484
2001,0.783971837
2002,0.773218029
2003,0.713999837
2004,0.675328633
2005,0.677590113
2006,0.679903131
2007,0.653823024
2008,0.635019892
2009,0.649513669
2010,0.655705877
2011,0.633741293
2012,0.653151814
2013,0.658074197
2014,0.658697093
2015,0.714973903
2016,0.719540519
2017,0.722092665
2018,0.706288
2019,0.723791952
2020,0
2021,0
2022,0
